"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"Crime_score2","Crime_score",-1.27862789139395,-2.12392809006987,-0.433327692718025,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"Income_score2","Income_score",-41.6146597015422,-72.4445666974869,-10.7847527055976,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"Living_Environment_score2","Living_Environment_score",-0.0632326519521822,-0.102432083352925,-0.0240332205514399,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"unringfenced_percapita2","unringfenced_percapita",-0.0473330114860478,-0.103796286291047,0.00913026331895145,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"IMD_Average_score2","IMD_Average_score",-0.0883260116739861,-0.258415067875398,0.081763044527426,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"prop_o652","prop_o65",9.09782278541983,-20.4191964908466,38.6148420616863,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"contain_outbreak_management_percapita2","contain_outbreak_management_percapita",-0.129139040172909,-0.223350670322529,-0.0349274100232879,1356.58873727686,1420.3284180373,"Third","Lasso","Fixed"
"1","(Intercept)",82.370648616551,67.8223936556068,96.9189035774951,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"2","Median_age",0.519755698961042,0.263994139023397,0.775517258898687,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"3","prop_all_other_white",-58.3503330500345,-64.6180707048095,-52.0825953952596,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"4","prop_black_afr_car",-30.0189539762613,-37.9473750516041,-22.0905329009185,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"5","mean_popden",0.00342732511900905,-0.0017518068961918,0.0086064571342099,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"6","Pop_per_km2",-0.00337416402779162,-0.00847940855585923,0.00173108050027598,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"7","prop_not_in_work",-5.70213498103884,-18.3033612185076,6.89909125642989,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"8","prop_asian",-8.89591267654123,-12.2323587290848,-5.55946662399761,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"9","prop_u25",-10.0123777971277,-32.8789416144676,12.8541860202122,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"10","Crime_score",-0.581517111323852,-1.2437606692134,0.0807264465656984,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"11","Income_score",-22.065564367984,-45.7598357647821,1.62870702881403,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"12","Living_Environment_score",-0.0543499300605963,-0.0856016619981751,-0.0230981981230175,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"13","unringfenced_percapita",-0.0399955401921279,-0.0830559389369799,0.00306485855272405,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"14","IMD_Average_score",-0.0065381631396937,-0.137325520030385,0.124249193750998,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"15","prop_o65",-23.4049899143635,-46.3134383262182,-0.496541502508887,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"16","contain_outbreak_management_percapita",-0.0827902945441255,-0.160863571276218,-0.00471701781203249,1220.80012648676,1288.28920023311,"First","Lasso","Random"
"17","(Intercept)",79.6665738493549,64.9530685617959,94.3800791369139,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"18","Median_age",0.564911970502212,0.305835710293869,0.823988230710554,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"19","prop_all_other_white",-59.5791065336795,-65.9166514319742,-53.2415616353848,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"20","prop_black_afr_car",-29.8036067493416,-37.8325800206669,-21.7746334780164,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
"21","mean_popden",0.00561222482071835,0.000346255182748546,0.0108781944586881,1230.22772137662,1297.71679512297,"Second","Lasso","Random"
