"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"sales_compensation","sales_compensation",-0.0357168463016384,-0.0605277613069554,-0.0109059312963215,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"fire_contingency","fire_contingency",-9.41951347641135,-16.3571172137006,-2.48190973912208,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"protect_and_vaccinate","protect_and_vaccinate",0.465626064639657,0.0851163031391595,0.846135826140154,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"Income_score","Income_score",5.50027436906053,2.28620246763462,8.71434627048644,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"Education_Skills_and_Training_score","Education_Skills_and_Training_score",-0.025119242397991,-0.0351546729026844,-0.0150838118932975,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"Living_Environment_score","Living_Environment_score",0.0115827342919883,0.00688818867377094,0.0162772799102057,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"Population","Population",-2.74792873348718e-07,-2.38644388022279e-06,1.83685813352536e-06,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"prop_black_afr_car","prop_black_afr_car",1.6540954791213,0.227674330267726,3.08051662797487,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"prop_o65","prop_o65",1.86540697370885,-2.16729154278154,5.89810549019925,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"contain_outbreak_management_percapita","contain_outbreak_management_percapita",0.0145876911965461,-0.00356893327835706,0.0327443156714493,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"Health_Deprivation_and_Disability_score","Health_Deprivation_and_Disability_score",0.017097925563804,-0.124957660449767,0.159153511577375,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"Crime_score","Crime_score",0.0464542860200244,-0.0738717497571942,0.166780321797243,90.3275202798662,195.310523885297,"First vs Second","Stepwise","Fixed"
"(Intercept)1","(Intercept)",-7.66025690574484,-25.9204339468085,10.5999201353188,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"Pop_per_km21","Pop_per_km2",0.00464730162988996,-7.78787482982046e-05,0.00937248200807813,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"Median_age1","Median_age",0.220787810410148,-0.0156734025639212,0.457249023384218,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"prop_travelling_to_work1","prop_travelling_to_work",12.400604603098,1.04933193127411,23.7518772749218,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"prop_all_other_white1","prop_all_other_white",6.67404733776417,0.690608642628075,12.6574860329003,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"prop_asian1","prop_asian",20.2454040860449,17.1344919102714,23.3563162618184,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"prop_u251","prop_u25",30.6230982398484,9.54165274668392,51.7045437330128,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
"mean_popden1","mean_popden",-0.00489841510391852,-0.00968141931189374,-0.0001154108959433,1117.81642561451,1222.79942921994,"Second vs Third","Stepwise","Fixed"
