"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"Crime_score1","Crime_score",-0.596153749324393,-1.28519770930792,0.0928902106591315,1184.55005024563,1270.78608892151,"Second","Stepwise","Fixed"
"Pop_per_km21","Pop_per_km2",8.61708930441453e-05,-8.94325881904659e-05,0.000261774374278757,1184.55005024563,1270.78608892151,"Second","Stepwise","Fixed"
"home_to_school_transport1","home_to_school_transport",-0.95521759971569,-3.46761021487468,1.5571750154433,1184.55005024563,1270.78608892151,"Second","Stepwise","Fixed"
"fire_contingency1","fire_contingency",34.7697310641424,-3.5944011908051,73.13386331909,1184.55005024563,1270.78608892151,"Second","Stepwise","Fixed"
"(Intercept)2","(Intercept)",55.4051111833596,44.1027288371068,66.7074935296123,1326.45105565567,1412.68709433156,"Third","Stepwise","Fixed"
"Median_age2","Median_age",0.610790232874044,0.409664209605706,0.811916256142382,1326.45105565567,1412.68709433156,"Third","Stepwise","Fixed"
"prop_all_other_white2","prop_all_other_white",-51.5528768379664,-59.5264953847724,-43.5792582911604,1326.45105565567,1412.68709433156,"Third","Stepwise","Fixed"
"prop_asian2","prop_asian",-23.092762337394,-27.2714738549384,-18.9140508198497,1326.45105565567,1412.68709433156,"Third","Stepwise","Fixed"
"prop_black_afr_car2","prop_black_afr_car",-37.5304351703468,-47.2654571366602,-27.7954132040335,1326.45105565567,1412.68709433156,"Third","Stepwise","Fixed"
"prop_o652","prop_o65",10.2218423819231,-17.9587247824413,38.4024095462875,1326.45105565567,1412.68709433156,"Third","Stepwise","Fixed"
"no_jobs2","no_jobs",0.0624814856539764,0.0341532847567188,0.0908096865512339,1326.45105565567,1412.68709433156,"Third","Stepwise","Fixed"
"contain_outbreak_management_percapita2","contain_outbreak_management_percapita",-0.243304584269933,-0.362361333847158,-0.124247834692708,1326.45105565567,1412.68709433156,"Third","Stepwise","Fixed"
"omicron_support_fund_percapita2","omicron_support_fund_percapita",1.28906116629255,-2.55633841578891,5.134460748374,1326.45105565567,1412.68709433156,"Third","Stepwise","Fixed"
"Income_score2","Income_score",-35.3751785396228,-54.2984981451894,-16.4518589340562,1326.45105565567,1412.68709433156,"Third","Stepwise","Fixed"
