"","...1","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"1","(Intercept)","(Intercept)",117.491053152278,88.3522829523242,146.629823352233,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"2","Pop_per_km2","Pop_per_km2",-1.84186784191804e-05,-0.00018875361353945,0.00015191625670109,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"3","prop_travelling_to_work","prop_travelling_to_work",-2.90670153419139,-31.6135919286786,25.8001888602958,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"4","prop_not_in_work","prop_not_in_work",-20.6409428345872,-50.4012327588925,9.11934708971799,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"5","prop_all_other_white","prop_all_other_white",-54.4518048025691,-61.6282544970327,-47.2753551081056,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"6","prop_mixed_multiple","prop_mixed_multiple",-20.6512939751987,-44.4907350593649,3.18814710896745,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"7","prop_asian","prop_asian",-5.75063717129161,-9.35067478686728,-2.15059955571595,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"8","prop_black_afr_car","prop_black_afr_car",-18.6060488100184,-28.3991433860124,-8.81295423402441,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"9","prop_other","prop_other",-0.474555882293424,-19.1357261031094,18.1866143385225,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"10","IMD_Average_score","IMD_Average_score",0.0317774395612712,-0.149375396520194,0.212930275642736,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"11","prop_o65","prop_o65",13.1789689997631,-5.55195479974048,31.9098927992667,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"12","prop_u25","prop_u25",-35.5303978249024,-53.1903133556708,-17.870482294134,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"13","Median_annual_income","Median_annual_income",-7.27348624021711e-05,-0.00015734600652473,1.18762817203959e-05,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"14","Other_proportion","Other_proportion",-0.0947128988429867,-0.172730342352873,-0.0166954553331004,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"15","unringfenced_percapita","unringfenced_percapita",-0.0599139907562662,-0.106469687525118,-0.0133582939874147,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"16","ASC_infection_control_fund_percapita","ASC_infection_control_fund_percapita",-0.0571587167591413,-0.129240139760385,0.0149227062421024,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"17","contain_outbreak_management_percapita","contain_outbreak_management_percapita",-0.152145542505769,-0.237343909724159,-0.0669471752873793,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"18","Income_score","Income_score",-30.6710211162797,-68.0464321544915,6.70438992193203,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"19","Employment_score","Employment_score",39.1465505322121,-8.77681834258598,87.0699194070102,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"20","Education_Skills_and_Training_score","Education_Skills_and_Training_score",-0.0736651753408427,-0.135571938448017,-0.0117584122336682,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"21","Health_Deprivation_and_Disability_score","Health_Deprivation_and_Disability_score",-0.57461511784425,-1.53669607960883,0.387465843920326,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"22","Crime_score","Crime_score",-0.591537613863124,-1.30505114212935,0.121975914403106,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
"23","Barriers_to_Housing_and_Services_score","Barriers_to_Housing_and_Services_score",-0.0263488056820835,-0.0849896035145039,0.0322919921503369,1205.29112683456,1299.02595148226,"First","Simple","Fixed"
