"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"Income_score1","Income_score",-33.4872474744278,-71.744064156529,4.76956920767347,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Employment_score1","Employment_score",39.6433792440165,-9.41014249404402,88.696900982077,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Education_Skills_and_Training_score1","Education_Skills_and_Training_score",-0.0701095963345772,-0.133476275704393,-0.00674291696476129,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Health_Deprivation_and_Disability_score1","Health_Deprivation_and_Disability_score",-0.681610350486983,-1.66637958686909,0.30315888589512,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Crime_score1","Crime_score",-0.626612950646885,-1.35695291194317,0.103727010649403,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Barriers_to_Housing_and_Services_score1","Barriers_to_Housing_and_Services_score",-0.0262621393573605,-0.0862858338251873,0.0337615551104664,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"Living_Environment_score1","Living_Environment_score",-0.0600720958556782,-0.0988310890297049,-0.0213131026816515,1219.92900863223,1313.66383327994,"Second","Simple","Fixed"
"(Intercept)2","(Intercept)",125.592633705319,88.4390227207712,162.746244689867,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Pop_per_km22","Pop_per_km2",0.000226135971804877,8.94911480613342e-06,0.000443322828803621,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_travelling_to_work2","prop_travelling_to_work",-29.7768907459509,-66.3798300935596,6.82604860165773,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_not_in_work2","prop_not_in_work",-39.2261433788044,-77.1722278239446,-1.28005893366427,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_all_other_white2","prop_all_other_white",-50.4447529654207,-59.5951398337964,-41.294366097045,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_mixed_multiple2","prop_mixed_multiple",-17.9250921004775,-48.321753114385,12.47156891343,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_asian2","prop_asian",-21.2706744200571,-25.8609298145366,-16.6804190255777,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_black_afr_car2","prop_black_afr_car",-27.4231337926199,-39.9098936563542,-14.9363739288856,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_other2","prop_other",-4.37637050171626,-28.1704377922334,19.4176967888008,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"IMD_Average_score2","IMD_Average_score",0.0337385997924028,-0.197241704260679,0.264718903845485,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_o652","prop_o65",39.6849552513012,15.8019481287474,63.567962373855,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"prop_u252","prop_u25",-38.9221570467449,-61.4395669150302,-16.4047471784596,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Median_annual_income2","Median_annual_income",-1.64485314261097e-05,-0.000124332615487156,9.14355526349365e-05,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"Other_proportion2","Other_proportion",-0.10347692541557,-0.202953661265589,-0.00400018956555047,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
"unringfenced_percapita2","unringfenced_percapita",-0.084885176658121,-0.144246372583514,-0.0255239807327281,1357.88970709711,1451.62453174481,"Third","Simple","Fixed"
