"","Term","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Dose"
"1","Median_age",13.783292429573,11.2584776057323,16.9295142632728,3.71258567976188,0.0725516058742564,0.0590684401483046,0.0888219557758718,"First"
"2","prop_all_other_white",2.36335429569516,2.02074964722332,2.8209508478858,1.53732049218605,0.423127417595194,0.354490401968352,0.494865854052768,"First"
"3","prop_asian",1.8434913905441,1.60201130293275,2.181834497884,1.35775233034015,0.542448966742857,0.458329905852084,0.624215321183647,"First"
"4","prop_black_afr_car",2.88336066155502,2.44064217787805,3.46212934478808,1.69804613057332,0.346817522113481,0.288839584085848,0.409728230161712,"First"
"5","prop_o65",17.7762620246733,14.4893655151721,21.8640626724765,4.21619046351956,0.0562547963464991,0.0457371539306299,0.0690161345541929,"First"
"6","no_jobs",1.19634066143481,1.09265213961243,1.4160687005601,1.09377358783014,0.835882313655265,0.706180427266322,0.915204358044548,"First"
"7","contain_outbreak_management_percapita",3.77545533604833,3.16174402771234,4.56339706442996,1.94305309655921,0.264868714099707,0.219134996556544,0.316281138268977,"First"
"8","omicron_support_fund_percapita",3.08490214062143,2.60349788075914,3.71083422568037,1.7563889491287,0.324159391259833,0.269481183794098,0.384098641827361,"First"
"9","Income_score",3.63933445404496,3.051681858871,4.39530533459126,1.9077039744271,0.274775515311198,0.227515479329719,0.327688155661796,"First"
"10","Living_Environment_score",1.45162480663206,1.28906910649899,1.70559240465276,1.20483393321738,0.688883239960686,0.586306550892261,0.775753599988072,"First"
"11","Population",23.1000739185355,18.8226842867462,28.4040239588345,4.80625362611416,0.0432899047650925,0.035206279273996,0.053127385274381,"Second"
"12","Median_age",13.9724934001335,11.4267415702275,17.139805890752,3.7379798555013,0.0715691875002386,0.0583437179145395,0.0875140120964589,"Second"
"13","prop_all_other_white",2.57589229339818,2.19450496071328,3.07905082194789,1.60495865784704,0.388214989641813,0.32477541223804,0.455683636128564,"Second"
"14","prop_asian",2.00742421266217,1.73539100504712,2.38008697045861,1.41683598650732,0.498150811219836,0.420152713918396,0.576239013047581,"Second"
"15","prop_black_afr_car",3.02529169104794,2.55804697204878,3.63265903237443,1.73933656635165,0.33054663884447,0.275280446385954,0.390923235940068,"Second"
"16","prop_o65",17.927148377857,14.6311208985915,22.0201607290852,4.23404633629074,0.0557813199803246,0.0454129291926173,0.0683474633919718,"Second"
"17","no_jobs",21.0049363205718,17.1250140132879,25.8184266296046,4.58311426003888,0.0476078567789145,0.0387320271039814,0.0583941128003787,"Second"
"18","unringfenced_percapita",11.0391552273495,9.04995594632296,13.5198992827848,3.32252241939004,0.0905866417678867,0.0739650480439099,0.110497775451195,"Second"
"19","DWP_winter_grant_percapita",6.38714063838343,5.28080698435,7.77939565222628,2.5272792956821,0.156564581338716,0.128544689678282,0.189364997236893,"Second"
"20","fire_contingency",5.96210476950974,4.93647042609445,7.25496474719371,2.44174215868706,0.167726002587879,0.137836644952246,0.202573886539246,"Second"
"21","Income_score",4.96498707261594,4.12872882018342,6.0247635348243,2.22822509469217,0.201410393496377,0.165981618070121,0.242205299391781,"Second"
"22","Living_Environment_score",1.52750244512937,1.3501707091806,1.7946376505008,1.2359216986239,0.654663436506187,0.557215546949517,0.740647084994822,"Second"
"23","Population",23.5254945246047,19.2195582987239,28.8490781861344,4.85030870405222,0.0425070766930798,0.0346631526161078,0.0520303320428751,"Third"
"24","Pop_per_km2",6218.59340199355,5053.18597429789,7652.82990277166,78.858058573576,0.000160808069503213,0.00013067061632166,0.000197894952825073,"Third"
"25","Median_age",3.30570856441686,2.79111082686801,3.96815356385372,1.81816076418365,0.302507005839579,0.252006376242364,0.358280291263866,"Third"
"26","prop_all_other_white",2.97884833360658,2.52581531988399,3.56639232572082,1.725934046714,0.335700206256984,0.280395399235244,0.395911764461834,"Third"
"27","prop_asian",1.92720483097099,1.67364917251283,2.27619662229982,1.38823803109229,0.518886204481008,0.439329357667538,0.597496785122889,"Third"
"28","prop_black_afr_car",3.45623177988366,2.91330949570717,4.15321414023537,1.85909434399755,0.289332447499704,0.240777375361466,0.343252236493762,"Third"
"29","mean_popden",6285.06482211716,5107.1990883337,7734.63317909471,79.2784007288061,0.000159107348659476,0.000129288613544443,0.000195802039964388,"Third"
"30","no_jobs",21.5627509168016,17.6246974441486,26.4336493453149,4.64357092298606,0.0463762719264546,0.037830569171004,0.0567385626430712,"Third"
